Instance,Min,LDEG,GDEG,AStar,MCTS,Best
instances/BBGRL/1000_ep0.0125_0_gilbert_5.in,4,4,4,4,4,Min
instances/BBGRL/50_ep0.1_0_gilbert_6.in,5,6,5,6,7,MCTS
instances/BBGRL/500_ep0.015_0_gilbert_8.in,5,5,5,5,5,Min
instances/BBGRL/1000_ep0.01_0_gilbert_3.in,5,5,5,5,5,Min
instances/BBGRL/100_ep0.1_0_gilbert_9.in,3,4,3,3,3,LDEG
instances/BBGRL/100_ep0.075_0_gilbert_6.in,4,4,4,4,4,Min
instances/BBGRL/500_ep0.02_0_gilbert_9.in,4,4,4,4,4,Min
instances/BBGRL/500_ep0.025_0_gilbert_1.in,4,4,4,4,4,Min
instances/BBGRL/100_ep0.05_0_gilbert_8.in,5,6,5,6,6,LDEG
instances/BBGRL/1000_ep0.0075_0_gilbert_8.in,6,6,6,6,6,Min
instances/BBGRL/1000_ep0.0125_0_gilbert_1.in,4,4,4,4,4,Min
instances/BBGRL/1000_ep0.01_0_gilbert_7.in,4,4,4,4,4,Min
instances/BBGRL/50_ep0.1_0_gilbert_2.in,5,5,5,5,5,Min
instances/BBGRL/100_ep0.075_0_gilbert_2.in,4,4,4,4,4,Min
instances/BBGRL/500_ep0.025_0_gilbert_5.in,4,4,4,4,4,Min
instances/BBGRL/50_ep0.2_0_gilbert_8.in,3,3,3,3,3,Min
instances/BBGRL/50_ep0.15_0_gilbert_9.in,4,4,4,4,4,Min
instances/BBGRL/50_ep0.1_0_gilbert_3.in,6,7,6,7,9,MCTS
instances/BBGRL/1000_ep0.01_0_gilbert_6.in,5,5,5,5,5,Min
instances/BBGRL/100_ep0.075_0_gilbert_3.in,4,4,4,4,4,Min
instances/BBGRL/500_ep0.025_0_gilbert_4.in,4,4,4,4,4,Min
instances/BBGRL/50_ep0.2_0_gilbert_9.in,3,3,3,3,3,Min
instances/BBGRL/50_ep0.15_0_gilbert_8.in,3,3,3,3,3,Min
instances/BBGRL/1000_ep0.0125_0_gilbert_4.in,4,5,4,4,4,LDEG
instances/BBGRL/1000_ep0.01_0_gilbert_2.in,5,5,5,5,5,Min
instances/BBGRL/500_ep0.015_0_gilbert_9.in,5,5,5,5,5,Min
instances/BBGRL/50_ep0.1_0_gilbert_7.in,4,4,4,4,4,Min
instances/BBGRL/100_ep0.1_0_gilbert_8.in,3,3,3,3,3,Min
instances/BBGRL/100_ep0.075_0_gilbert_7.in,4,4,4,4,4,Min
instances/BBGRL/500_ep0.02_0_gilbert_8.in,4,4,4,4,4,Min
